DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6002557         2        33         5         2         2         5         7         8         6         5         4         6         7         4         0         3         4         0         5         5         5         2         1
   6002558         2        26         5         2         2         5         6         0         7         6         2         6         6         2         3         6         1         0         5         5         5         5         0
   6002562         2        63         3         3         2         5        10         2         3         0        10        10        10        10         0         8         1         3         5         5         5         5         0
   6002577         2        44         3         2         3         6        10         4         5         5         7         7        10         0         0        10         3         0         5         5         5         2         1
   6002593         2        46         5         2         2         6         9         8         8         8         8         8         9         8         8         8         2         0         5         5         5         5         0
   6002606         2        31         5         2         2         6         6         3         8         7         4         5         5         8         2        10         1         0         5         5         5         5         0
   6002619         2        52         3         3         3         6        10         0         1        10         0        10         8         6         0        10         2         1         5         5         5         5         0
   6002623         2        91         3         3         3         6         8         8         3         3         0         8         2        10         8         7         2         0         5         5         5         5         0
   6002631         2        30         5         2         3         6         4         0         4         9         9         3         2         8         7         8         4         0         5         5         5         5         0
   6002635         2        55         5         3         3         6         4         4         6         8         7         8         6         6         3        10         2         2         5         5         5         5         0
   6002639         2        31         5         2         2         6        10         8        10         8         8        10        10         0         0        10         1         0         5         5         1         1         1
   6002641         2        40         5         3         2         6        10         8         8         2         9        10         7         8         0        10         3         0         2         5         5         1         1
   6002645         2        65         5         3         3         6        10        10        10         9         8        10        10         0         0        10         1         0         5         5         5         5         0
   6002646         2        55         3         3         3         6         8         7         7         6         3         5         5         5         5         5         1         2         2         5         5         1         1
